PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
BE01;PARTY;3;ECR;PROVISIONAL;2024-06-10 00:17
BE02;PARTY;3;ID;PROVISIONAL;2024-06-10 00:17
BE03;PARTY;1;Renew;PROVISIONAL;2024-06-10 00:17
BE04;PARTY;2;EPP;PROVISIONAL;2024-06-10 00:17
BE05;PARTY;1;GREENSEFA;PROVISIONAL;2024-06-10 00:17
BE06;PARTY;2;SD;PROVISIONAL;2024-06-10 00:17
BE07;PARTY;1;Theleft;PROVISIONAL;2024-06-10 00:17
BE08;PARTY;2;SD;PROVISIONAL;2024-06-10 00:17
BE09;PARTY;1;GREENSEFA;PROVISIONAL;2024-06-10 00:17
BE10;PARTY;3;Renew;PROVISIONAL;2024-06-10 00:17
BE11;PARTY;1;EPP;PROVISIONAL;2024-06-10 00:17
BE13;PARTY;1;Theleft;PROVISIONAL;2024-06-10 00:17
BE14;PARTY;1;EPP;PROVISIONAL;2024-06-10 00:17
