PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
DK01;PARTY;2;Renew;PROVISIONAL;2024-06-09 23:25
DK02;PARTY;3;SD;PROVISIONAL;2024-06-09 23:25
DK03;PARTY;3;GREENSEFA;PROVISIONAL;2024-06-09 23:25
DK04;PARTY;1;ID;PROVISIONAL;2024-06-09 23:25
DK05;PARTY;1;Renew;PROVISIONAL;2024-06-09 23:25
DK06;PARTY;1;EPP;PROVISIONAL;2024-06-09 23:25
DK07;PARTY;1;Theleft;PROVISIONAL;2024-06-09 23:25
DK09;PARTY;1;EPP;PROVISIONAL;2024-06-09 23:25
DK10;PARTY;1;Renew;PROVISIONAL;2024-06-09 23:25
DK11;PARTY;1;Others;PROVISIONAL;2024-06-09 23:25
